genre,count
"Play with Music 90 min",1
"recommended for kids ages 4 to 9 Musical",1
"semi-historical comedy One act",1
"2h 0m National Chicago, IL",1
"Sketch",1
"Drama / Classic Play/Drama",1
"Drama comedy 90 min",1
"Youth play Youth audience",1
"mime",1
"Fifteen minute play. - - Lesbian, one act",1
"Play - Full-length, Drama, Youth/Junior",1
"Drama, 95 min",1
"Comedy in 3 acts",1
"1h 25m Drama Spoken Word/Poetry",1
"Fu-Gen, 2008)",1
"new version",1
"short play. - - Gay, one act",1
"80-90 min Comedy/Drama",1
"Murder Mystery",1
"adult fairy tale 80 min",1
"Short Community Play One act",1
"Comedy With Somgs",1
"Translation, a kind of monologue for three actors",1
"Short comedy",1
"15 mins. Drama",1
"short story. - - Gay/Lesbian, of interest",1
"Light Comedy",1
"Theatre-In-Education",1
"Gay black comedy full length",1
"1h 40m Play/Drama",1
"Sketch One act",1
"20-30 min Dark absurdist comedy",1
"short play 70 min",1
"30 min One act",1
"70-90 min Tragicomedy",1
"Children's musical Youth audience",1
"comedy Drama Play/Drama. - - Gay, theme/character, full length",1
"Play/Drama. - - Gay/Lesbian, historical characters",1
"Multimedia piece",1
"one minute",1
"Young audiences",1
"comic play",1
"Multi-Media Performance art, 110 min",1
"90 mins. absurd comedy.. - - Gay, theme/character, full length",1
"3 act Play/Drama",1
"one acts plays",1
"Lesbian theme/character, full length",1
"75 minutes",1
"Brief semi-surrealistic One-ac",1
"1h 15m Drama Performance art",1
"10 Min",1
"play extract",1
"Gay Musical. - - Gay/Lesbian, musical",1
"TYA 30 min",1
"Dramatic anthology",1
"subversive pantomime",1
"Comedy Musical",1
"Cabaret",1
"90 min Musical",1
"2h 10m Comedy Solo Show",1
"15 min Play One act",1
"music theatre 90 mins",1
"comedy - Gay/Lesbian, historical characters",1
"verbatim theatre",1
"Stage play 2 acts and prologue",1
"Childrens short play",1
"Monologue play - Gay full length",1
"monologue One act",1
"Dance",1
"short performance piece",1
"Christmas play",1
"Full-Length 90 mins naturalistic",1
"music, comedy",1
"two act Comedy",1
"25 min comedy",1
"Three Short Plays One act",1
"stories",1
"Gay biography full length",1
"Full Length Play/Drama",1
"Children's 10 Min Comedy Youth audience",1
"absurd One act. - - Gay, theme/character, one act",1
"Brief one-act comedy",1
"Gay surreal full length",1
"community play",1
"stage play for 40 kids aged 11 - 16",1
"Contemporary Thriller Play/Drama",1
"Short Dramatic Comedy One act",1
"60 min Comedy",1
"Children's Youth audience",1
"58 min Comedy, Drama",1
"Christmas panto",1
"80 min Play/Drama",1
"comedy Ten Min",1
"1h 15m, Dark comedy",1
"Sat MeloDrama",1
"Drama-documentary",1
"110 min adaptation",1
"1h 10m, Comedy",1
"Lesbian one act",1
"Drama, folktale, pansori",1
"Solo Show FringeHIGH",1
"Ironic Comedy One act",1
"monologue, 4 minutes",1
"Multi-media, full length play",1
"1h 30m Multi-Media Solo Show Piece",1
"Comic Drama Comedy",1
