publisher,count
"Faber and Faber, London, 1999",4
"Faber and Faber, London, 2000",1
"www.hungerartists.com -",1
"Contained in: ""Seven One Act Plays"" published by Princeton University Press -",7
"Samuel French, NY, 1992 -",3
"Contained in: ""Modern Spanish Theater"" published by E P Dutton 1968",1
"Contained in: ""Kenyon Review Fall 1993"" -",1
"Dramatic Publishing Co., Chicago, 1982 -",1
"New Theatre Publications (2006)",2
"in Humana Festival 2008: the Complete Plays, Playscripts Inc",1
"(Scottish Plays No. 36). Brown, Son & Ferguson. N.D., -",1
"http://www.indietheaternow.com/Play/raising-ricci -",1
"Nick Hern Books, London, 1989 -",1
"Lawson and Dunn, London 1946",1
"Grove Press, New York, 1960",1
"the Playwrights Guild of Canada.,",2
"Canada Playwrights Co-op -",1
"arte Publico Press Houston Texas, 1994",1
"Grove Press, New York, 1966 -",1
"Contained in: ""Blackbirds and Dragons, Mermaids and Mice"" published by Dramatic Publishing Company -",5
"Samuel French, Inc - New York (2010) -",2
"Random House 1954 -",1
"the http://australianplays.org/ , 1994 -",1
"Oberon Books (2013)",4
"Contained in: ""Exposed - Eight Ten Minute Tales About What Really Happened"" published by Plays To Order���",1
"Samuel French, London, 1935",1
"Dramatists Play Service, NY, 1998 13:",1
"(Scottish Plays No. 194). Brown, Son & Ferguson. N.D., -",1
"Steele's Play Bureau, -",1
"in Machiz, H ed. artis'theatre: four plays -",1
"(Scottish Plays No. 181). Brown, Son & Ferguson. N.D., -",1
"Music Theatre International",1
"Oberon Books, London , 2006",5
"Youngsong Music, 1979. available from Music Sales and on-line at www.musicroom.com -",1
"in Land of a Million Magicians: an abibigoro, Woeli Publishing Services, accra, Ghana, 1993",1
"Samuel French, Inc - New York , 2008",1
"in Outstanding Short Plays, Dramatists Play Service, NY,",2
"Dramatists Play Service",1
"Contained in: Conclave: A Journal of Character 2"" published by Wolfsword Press",1
"Allen, Bould and Miles, London, 1974 -",1
"Player's Press, L.a., Ca, 1982 -",2
"https://Australianplays.org/script/ASC-1574",1
"Jasper Publishing Ltd 2006",2
"Kindle Amazon Digital Services Inc 2011 -",1
"McFarland & Company, 1995 -",1
"Harrap 1957",1
"Samuel French, London, 1994 -",2
"in Plays by Lynne Alvarez: Later Plays & Selected Poems, Broadway Play Publishing (2008)",1
"Random House, New York, 1982",1
"http://www.indietheaternow.com/Play/the-art-of-martyrdom",1
"Samuel French, London, 1973 -",1
"Contained in: ""The Bald Soprano and Other Plays"" published by Grove Press",4
"Random House, New York, 1953 -",2
"in ""Why Bournemouth? and Other Plays, Calder & Boyars, London, 1970 -",3
