LEVEL,RULE,RULETEXT,FILENAME,LOCATION
warning,import/order,There should be at least one empty line between import groups,#/src/page-models/ListingPage.ts,1:1
warning,import/order,`@playwright/test` type import should occur after type import of `./__BasePage`,#/src/page-models/ListingPage.ts,1:1
warning,import/order,There should be at least one empty line between import groups,#/src/page-models/ListingPage.ts,2:1
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/page-models/ListingPage.ts,5:6
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/page-models/ListingPage.ts,11:6
error,consistent-indexed-object-style,A record is preferred over an index signature,#/src/page-models/ListingPage.ts,11:13
error,prefer-regexp-exec,Use the `RegExp#exec()` method instead,#/src/page-models/ListingPage.ts,102:26
error,no-useless-escape,Unnecessary escape character: \(,#/src/page-models/ListingPage.ts,102:61
error,no-useless-escape,Unnecessary escape character: \),#/src/page-models/ListingPage.ts,102:63
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ListingPage.ts,131:51
warning,import/order,`playwright` type import should occur after type import of `#/db-types/author/author.types`,#/src/page-models/ProfilePage/Biography/AdaptationBiography.ts,1:1
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/page-models/ProfilePage/Biography/AdaptationBiography.ts,7:6
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/page-models/ProfilePage/Biography/AdaptationBiography.ts,15:6
error,require-await,Async arrow function has no 'await' expression,#/src/page-models/ProfilePage/Biography/AdaptationBiography.ts,52:46
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/Biography/AdaptationBiography.ts,61:66
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/Biography/AdaptationBiography.ts,63:67
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/Biography/AdaptationBiography.ts,65:55
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/Biography/AdaptationBiography.ts,66:55
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/Biography/AdaptationBiography.ts,67:74
error,prefer-regexp-exec,Use the `RegExp#exec()` method instead,#/src/page-models/ProfilePage/Biography/AdaptationBiography.ts,81:30
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/Biography/AdaptationBiography.ts,85:36
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/Biography/AdaptationBiography.ts,86:36
warning,import/order,There should be at least one empty line between import groups,#/src/page-models/ProfilePage/Biography/StandardBiography.ts,1:1
warning,import/order,`playwright` type import should occur after type import of `#/db-types/author/author.types`,#/src/page-models/ProfilePage/Biography/StandardBiography.ts,1:1
warning,import/order,There should be at least one empty line between import groups,#/src/page-models/ProfilePage/Biography/StandardBiography.ts,2:1
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/page-models/ProfilePage/Biography/StandardBiography.ts,5:6
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/page-models/ProfilePage/Biography/StandardBiography.ts,12:6
error,require-await,Async arrow function has no 'await' expression,#/src/page-models/ProfilePage/Biography/StandardBiography.ts,42:46
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/Biography/StandardBiography.ts,49:67
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/Biography/StandardBiography.ts,51:76
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/Biography/StandardBiography.ts,54:68
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/Biography/StandardBiography.ts,56:60
error,prefer-regexp-exec,Use the `RegExp#exec()` method instead,#/src/page-models/ProfilePage/Biography/StandardBiography.ts,83:30
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/Biography/StandardBiography.ts,86:36
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/Biography/StandardBiography.ts,87:36
warning,import/order,There should be no empty line within import group,#/src/page-models/ProfilePage/Biography/__BaseBiography.ts,1:1
warning,import/order,`#/db-types/author/author.types` type import should occur before type import of `playwright`,#/src/page-models/ProfilePage/Biography/__BaseBiography.ts,3:1
warning,import/order,`playwright` type import should occur after type import of `../__BasePage`,#/src/page-models/ProfilePage/ProfilePage.ts,1:1
warning,import/order,There should be at least one empty line between import groups,#/src/page-models/ProfilePage/ProfilePage.ts,3:1
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/page-models/ProfilePage/ProfilePage.ts,11:6
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/page-models/ProfilePage/ProfilePage.ts,13:6
error,require-await,Async method 'extractPage' has no 'await' expression,#/src/page-models/ProfilePage/ProfilePage.ts,73:3
warning,import/order,There should be at least one empty line between import groups,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,1:1
warning,import/order,There should be at least one empty line between import groups,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,2:1
warning,import/order,`./__BaseWorksList` import should occur before type import of `playwright`,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,2:1
warning,import/order,There should be at least one empty line between import groups,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,3:1
warning,import/order,`#/db-types/play/play.types` type import should occur before type import of `playwright`,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,4:1
warning,no-unused-vars,'ScrapedPlayData' is defined but never used,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,4:15
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,6:6
error,no-unsafe-assignment,Unsafe assignment of type `any[]` to a variable of type `ScrapedPlayData[]`,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,21:5
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,31:33
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,31:57
error,no-unsafe-assignment,Unsafe assignment of an `any` value,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,32:15
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,32:42
error,no-unsafe-assignment,Unsafe assignment of an `any` value,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,35:11
error,no-unsafe-assignment,Unsafe assignment of an `any` value,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,36:11
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `string`,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,39:43
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `string`,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,40:33
error,no-unsafe-member-access,Unsafe member access .isbn on an `any` value,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,40:44
error,no-unsafe-assignment,Unsafe assignment of an `any` value,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,43:15
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,43:33
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `string`,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,46:39
error,no-unsafe-member-access,Unsafe member access .playId on an `any` value,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,46:50
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `UnparsedParts`,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,48:39
error,no-unsafe-member-access,Unsafe member access .parts on an `any` value,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,48:50
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `string`,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,50:11
error,no-unsafe-member-access,Unsafe member access .organizations on an `any` value,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,50:22
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `string`,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,52:54
error,no-unsafe-member-access,Unsafe member access .title on an `any` value,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,52:65
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `string`,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,53:57
error,no-unsafe-member-access,Unsafe member access .notes on an `any` value,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,53:68
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `string`,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,54:48
error,no-unsafe-member-access,Unsafe member access .reference on an `any` value,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,54:59
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `string`,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,55:42
error,no-unsafe-member-access,Unsafe member access .genres on an `any` value,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,55:53
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `string`,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,57:11
error,no-unsafe-member-access,Unsafe member access .adaptingAuthor on an `any` value,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,57:22
